+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                               ;
+-------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                           ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; soc_inst|mm_interconnect_5|mux_pipeline                                                                                             ; 130   ; 2              ; 0            ; 2              ; 126    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_5|agent_pipeline_003|core                                                                                  ; 234   ; 0              ; 0            ; 0              ; 232    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_5|agent_pipeline_003                                                                                       ; 237   ; 3              ; 0            ; 3              ; 232    ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_5|agent_pipeline_002|core                                                                                  ; 234   ; 0              ; 0            ; 0              ; 232    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_5|agent_pipeline_002                                                                                       ; 237   ; 3              ; 0            ; 3              ; 232    ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_5|agent_pipeline_001|core                                                                                  ; 236   ; 0              ; 0            ; 0              ; 234    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_5|agent_pipeline_001                                                                                       ; 238   ; 2              ; 0            ; 2              ; 234    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_5|agent_pipeline|core                                                                                      ; 236   ; 0              ; 0            ; 0              ; 234    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_5|agent_pipeline                                                                                           ; 238   ; 2              ; 0            ; 2              ; 234    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_5|limiter_pipeline_001|core                                                                                ; 128   ; 0              ; 0            ; 0              ; 126    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_5|limiter_pipeline_001                                                                                     ; 130   ; 2              ; 0            ; 2              ; 126    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_5|limiter_pipeline|core                                                                                    ; 128   ; 0              ; 0            ; 0              ; 126    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_5|limiter_pipeline                                                                                         ; 130   ; 2              ; 0            ; 2              ; 126    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_5|arria10_hps_0_f2sdram2_data_rd_rsp_width_adapter                                                         ; 239   ; 3              ; 2            ; 3              ; 126    ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_5|arria10_hps_0_f2sdram2_data_wr_rsp_width_adapter                                                         ; 239   ; 3              ; 2            ; 3              ; 126    ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_5|arria10_hps_0_f2sdram2_data_rd_cmd_width_adapter|uncompressor                                            ; 60    ; 4              ; 0            ; 4              ; 45     ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_5|arria10_hps_0_f2sdram2_data_rd_cmd_width_adapter                                                         ; 131   ; 5              ; 0            ; 5              ; 234    ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_5|arria10_hps_0_f2sdram2_data_wr_cmd_width_adapter|uncompressor                                            ; 60    ; 4              ; 0            ; 4              ; 45     ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_5|arria10_hps_0_f2sdram2_data_wr_cmd_width_adapter                                                         ; 131   ; 5              ; 0            ; 5              ; 234    ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_5|rsp_mux|arb|adder                                                                                        ; 8     ; 4              ; 0            ; 4              ; 4      ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_5|rsp_mux|arb                                                                                              ; 6     ; 0              ; 4            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_5|rsp_mux                                                                                                  ; 253   ; 0              ; 0            ; 0              ; 127    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_5|rsp_demux_001                                                                                            ; 128   ; 1              ; 2            ; 1              ; 126    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_5|rsp_demux                                                                                                ; 128   ; 1              ; 2            ; 1              ; 126    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_5|cmd_mux_001                                                                                              ; 128   ; 0              ; 2            ; 0              ; 126    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_5|cmd_mux                                                                                                  ; 128   ; 0              ; 2            ; 0              ; 126    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_5|cmd_demux                                                                                                ; 129   ; 4              ; 2            ; 4              ; 251    ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_5|f2sdram_only_master_master_limiter                                                                       ; 254   ; 1              ; 1            ; 1              ; 252    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_5|router_002|the_default_decode                                                                            ; 0     ; 2              ; 0            ; 2              ; 2      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_5|router_002                                                                                               ; 234   ; 0              ; 2            ; 0              ; 234    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_5|router_001|the_default_decode                                                                            ; 0     ; 2              ; 0            ; 2              ; 2      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_5|router_001                                                                                               ; 234   ; 0              ; 2            ; 0              ; 234    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_5|router|the_default_decode                                                                                ; 0     ; 5              ; 0            ; 5              ; 5      ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_5|router                                                                                                   ; 126   ; 0              ; 3            ; 0              ; 126    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_5|arria10_hps_0_f2sdram2_data_agent|read_rsp_fifo                                                          ; 274   ; 41             ; 0            ; 41             ; 231    ; 41              ; 41            ; 41              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_5|arria10_hps_0_f2sdram2_data_agent|write_rsp_fifo                                                         ; 274   ; 41             ; 0            ; 41             ; 231    ; 41              ; 41            ; 41              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_5|arria10_hps_0_f2sdram2_data_agent|read_burst_uncompressor                                                ; 60    ; 1              ; 0            ; 1              ; 58     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_5|arria10_hps_0_f2sdram2_data_agent|check_and_align_address_to_size                                        ; 47    ; 10             ; 2            ; 10             ; 36     ; 10              ; 10            ; 10              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_5|arria10_hps_0_f2sdram2_data_agent                                                                        ; 616   ; 18             ; 15           ; 18             ; 736    ; 18              ; 18            ; 18              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_5|f2sdram_only_master_master_agent                                                                         ; 203   ; 49             ; 90           ; 49             ; 158    ; 49              ; 49            ; 49              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_5|f2sdram_only_master_master_translator                                                                    ; 116   ; 13             ; 2            ; 13             ; 109    ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_5                                                                                                          ; 219   ; 0              ; 1            ; 0              ; 306    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_4|mux_pipeline_003|core                                                                                    ; 128   ; 0              ; 0            ; 0              ; 126    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_4|mux_pipeline_003                                                                                         ; 130   ; 2              ; 0            ; 2              ; 126    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_4|mux_pipeline_002|core                                                                                    ; 128   ; 0              ; 0            ; 0              ; 126    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_4|mux_pipeline_002                                                                                         ; 130   ; 2              ; 0            ; 2              ; 126    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_4|mux_pipeline_001|core                                                                                    ; 128   ; 0              ; 0            ; 0              ; 126    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_4|mux_pipeline_001                                                                                         ; 130   ; 2              ; 0            ; 2              ; 126    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_4|mux_pipeline|core                                                                                        ; 128   ; 0              ; 0            ; 0              ; 126    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_4|mux_pipeline                                                                                             ; 130   ; 2              ; 0            ; 2              ; 126    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_4|agent_pipeline_003|core                                                                                  ; 234   ; 0              ; 0            ; 0              ; 232    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_4|agent_pipeline_003                                                                                       ; 237   ; 3              ; 0            ; 3              ; 232    ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_4|agent_pipeline_002|core                                                                                  ; 234   ; 0              ; 0            ; 0              ; 232    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_4|agent_pipeline_002                                                                                       ; 237   ; 3              ; 0            ; 3              ; 232    ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_4|agent_pipeline_001|core                                                                                  ; 236   ; 0              ; 0            ; 0              ; 234    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_4|agent_pipeline_001                                                                                       ; 238   ; 2              ; 0            ; 2              ; 234    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_4|agent_pipeline|core                                                                                      ; 236   ; 0              ; 0            ; 0              ; 234    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_4|agent_pipeline                                                                                           ; 238   ; 2              ; 0            ; 2              ; 234    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_4|limiter_pipeline_001|core                                                                                ; 128   ; 0              ; 0            ; 0              ; 126    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_4|limiter_pipeline_001                                                                                     ; 130   ; 2              ; 0            ; 2              ; 126    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_4|limiter_pipeline|core                                                                                    ; 128   ; 0              ; 0            ; 0              ; 126    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_4|limiter_pipeline                                                                                         ; 130   ; 2              ; 0            ; 2              ; 126    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_4|arria10_hps_0_f2sdram0_data_rd_rsp_width_adapter                                                         ; 239   ; 3              ; 2            ; 3              ; 126    ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_4|arria10_hps_0_f2sdram0_data_wr_rsp_width_adapter                                                         ; 239   ; 3              ; 2            ; 3              ; 126    ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_4|arria10_hps_0_f2sdram0_data_rd_cmd_width_adapter|uncompressor                                            ; 60    ; 4              ; 0            ; 4              ; 45     ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_4|arria10_hps_0_f2sdram0_data_rd_cmd_width_adapter                                                         ; 131   ; 5              ; 0            ; 5              ; 234    ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_4|arria10_hps_0_f2sdram0_data_wr_cmd_width_adapter|uncompressor                                            ; 60    ; 4              ; 0            ; 4              ; 45     ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_4|arria10_hps_0_f2sdram0_data_wr_cmd_width_adapter                                                         ; 131   ; 5              ; 0            ; 5              ; 234    ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_4|rsp_mux|arb|adder                                                                                        ; 8     ; 4              ; 0            ; 4              ; 4      ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_4|rsp_mux|arb                                                                                              ; 6     ; 0              ; 4            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_4|rsp_mux                                                                                                  ; 253   ; 0              ; 0            ; 0              ; 127    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_4|rsp_demux_001                                                                                            ; 128   ; 1              ; 2            ; 1              ; 126    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_4|rsp_demux                                                                                                ; 128   ; 1              ; 2            ; 1              ; 126    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_4|cmd_mux_001                                                                                              ; 128   ; 0              ; 2            ; 0              ; 126    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_4|cmd_mux                                                                                                  ; 128   ; 0              ; 2            ; 0              ; 126    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_4|cmd_demux                                                                                                ; 129   ; 4              ; 2            ; 4              ; 251    ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_4|f2sdram_only_master1_master_limiter                                                                      ; 254   ; 1              ; 1            ; 1              ; 252    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_4|router_002|the_default_decode                                                                            ; 0     ; 2              ; 0            ; 2              ; 2      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_4|router_002                                                                                               ; 234   ; 0              ; 2            ; 0              ; 234    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_4|router_001|the_default_decode                                                                            ; 0     ; 2              ; 0            ; 2              ; 2      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_4|router_001                                                                                               ; 234   ; 0              ; 2            ; 0              ; 234    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_4|router|the_default_decode                                                                                ; 0     ; 5              ; 0            ; 5              ; 5      ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_4|router                                                                                                   ; 126   ; 0              ; 3            ; 0              ; 126    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_4|arria10_hps_0_f2sdram0_data_agent|read_rsp_fifo                                                          ; 274   ; 41             ; 0            ; 41             ; 231    ; 41              ; 41            ; 41              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_4|arria10_hps_0_f2sdram0_data_agent|write_rsp_fifo                                                         ; 274   ; 41             ; 0            ; 41             ; 231    ; 41              ; 41            ; 41              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_4|arria10_hps_0_f2sdram0_data_agent|read_burst_uncompressor                                                ; 60    ; 1              ; 0            ; 1              ; 58     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_4|arria10_hps_0_f2sdram0_data_agent|check_and_align_address_to_size                                        ; 47    ; 10             ; 2            ; 10             ; 36     ; 10              ; 10            ; 10              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_4|arria10_hps_0_f2sdram0_data_agent                                                                        ; 616   ; 18             ; 15           ; 18             ; 736    ; 18              ; 18            ; 18              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_4|f2sdram_only_master1_master_agent                                                                        ; 203   ; 49             ; 90           ; 49             ; 158    ; 49              ; 49            ; 49              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_4|f2sdram_only_master1_master_translator                                                                   ; 116   ; 13             ; 2            ; 13             ; 109    ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_4                                                                                                          ; 219   ; 0              ; 1            ; 0              ; 306    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_3|mux_pipeline_003|core                                                                                    ; 128   ; 0              ; 0            ; 0              ; 126    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_3|mux_pipeline_003                                                                                         ; 130   ; 2              ; 0            ; 2              ; 126    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_3|mux_pipeline_002|core                                                                                    ; 128   ; 0              ; 0            ; 0              ; 126    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_3|mux_pipeline_002                                                                                         ; 130   ; 2              ; 0            ; 2              ; 126    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_3|mux_pipeline_001|core                                                                                    ; 128   ; 0              ; 0            ; 0              ; 126    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_3|mux_pipeline_001                                                                                         ; 130   ; 2              ; 0            ; 2              ; 126    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_3|mux_pipeline|core                                                                                        ; 128   ; 0              ; 0            ; 0              ; 126    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_3|mux_pipeline                                                                                             ; 130   ; 2              ; 0            ; 2              ; 126    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_3|agent_pipeline_003|core                                                                                  ; 234   ; 0              ; 0            ; 0              ; 232    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_3|agent_pipeline_003                                                                                       ; 237   ; 3              ; 0            ; 3              ; 232    ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_3|agent_pipeline_002|core                                                                                  ; 234   ; 0              ; 0            ; 0              ; 232    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_3|agent_pipeline_002                                                                                       ; 237   ; 3              ; 0            ; 3              ; 232    ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_3|agent_pipeline_001|core                                                                                  ; 236   ; 0              ; 0            ; 0              ; 234    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_3|agent_pipeline_001                                                                                       ; 238   ; 2              ; 0            ; 2              ; 234    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_3|agent_pipeline|core                                                                                      ; 236   ; 0              ; 0            ; 0              ; 234    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_3|agent_pipeline                                                                                           ; 238   ; 2              ; 0            ; 2              ; 234    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_inst|mm_interconnect_3|limiter_pipeline_001|core                                                                                ; 128   ; 0              ; 0            ; 0              ; 126    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
